Sample	Group	Length
CbA1	Cb	2821
CbA1	Cb	455
CbA1	Cb	384
CbA1	Cb	642
CbA1	Cb	1994
CbA1	Cb	2313
CbA1	Cb	684
CbA1	Cb	343
CbA1	Cb	1598
CbA1	Cb	333
CbA1	Cb	2206
CbA1	Cb	2502
CbA1	Cb	322
CbA1	Cb	543
CbA1	Cb	516
CbA1	Cb	229
CbA1	Cb	3733
CbA1	Cb	405
CbA1	Cb	2460
CbA1	Cb	690
CbA1	Cb	508
CbA1	Cb	551
CbA1	Cb	547
CbA1	Cb	532
CbA1	Cb	299
CbA1	Cb	837
CbA1	Cb	175
CbA1	Cb	396
CbA1	Cb	2117
CbA1	Cb	282
CbA1	Cb	783
CbA1	Cb	336
CbA1	Cb	146
CbA1	Cb	1894
CbA1	Cb	741
CbA1	Cb	759
CbA1	Cb	1455
CbA1	Cb	269
CbA1	Cb	1004
CbA1	Cb	303
CbA1	Cb	209
CbA1	Cb	622
CbA1	Cb	484
CbA1	Cb	234
CbA1	Cb	388
CbA1	Cb	1374
CbA1	Cb	393
CbA1	Cb	316
CbA1	Cb	642
CbA1	Cb	466
CbA1	Cb	140
CbA1	Cb	695
CbA1	Cb	463
